Warna:celananya bagus yg saya tidak suka dengan bahan bajunya kaya bahan payung ☔,1
Bajunya bahan panas. Celananya bagus . Gambar sesuai sama di foto,1
Kain bajunya jelek dan celananya agak kekecilan sama saya,2
,2
"Warnanya sama, masalah kecocokan foto dll ga peduli, tapi bahan bajunya yg tulisan di deskripsi ""blouse"" BOHONG BAHANNYA ITU PARASUT, lo taukan parasut kek gimana? kena ujan kek bunyi kresek.

Bahan bajunya tertulis blouse?
Bohong banget, bahan parasut.

Celananya yg blouse, bisa bedain gak?

kalau nyuruh return males gue, ribet.


Kalau protes karena gw ngasih bintang 2, lo perbaikin dulu tuh deskripsinya, aneh!!",2
"Kenyamanan:TDK nyaman
Pas untuk Acara:TDK pass untuk acaraa
Saran Tampilan:gk bguss

Gk baguss ajg bajunyaaa kek kerasss,bngt apalagi celananya tipiss bngtt kebuang uang aku 65 ribuuu belum lagi diomelin am mama pokonya gk bguss                     minimal harganyaa sama kek kualitasnya ini baju udh jlk",1
"Ko datang bajunya warna putih yaa, tapi gapapa lah",2
"Ada robek di bagian ketiak mang, sebaiknya Klo mau kirim di cek dlu barang nya",1
"Sepadan dengan Uang:tidak sepadan dengan harga
Kenyamanan:tidak nyaman
Styling:tidak

Kalau nggak minat jualan jangan jualan... 
Jahatian nggak tapi bahan tipis pokoknya tidak sesuai, 
Terimakasih",1
"KALAU MAU PACKING MENDING DI CEK DLU BARANGNYA JANGAN ASALL KIRIMMM.
PESANYA WARNA APA YG DATANG WARNA NYA APA!!!
Kecewa beratt!
PACKING ELIT
TELITI SULIT",1
"Saran Tampilan:kurang
Pas untuk Acara:gak
Kualitas:biasa aja

Bajunya gak sesuai ekspektasi tp wajar lah harga segitu kresek kresek bajunya",2
Lain kali kalau jualan yang jujur dong kak.  Masak barang bolong gini dikasi ke pembeliii.,2
TOKO TIDAK AMANAH PESAN 7 ONE SET CMN DIKIRIM 3 YANG 4 TANPA CELANA KOMPLEN TIDAK DI PROSES SEMOGA KEJUJURAN TOKONYA DI LAKUKAN,1
Gaa real pict sii masaa aku pesennyaa putih hitam malah dikasih warna celana warna hijau trus kainnya gaa memuaskan,2
"Kualitas:Lumayan

warna yang di pesan sesuai, kurang suka sama bahan baju nya, tapi gpp worth it buat harga segitu",2
"Bju nya lumayan lah cmn celana nya ga bisa dipakai,,jahitan nya ga rapi,,terpaksa hrus pakai dngn celana yang lain",2
"Yang d deakripsi produk smaa baju,,,yang datang cuma celana aja,,,,gak usah klen blanja dsni we,,,nyesall kali,,,😥😡",1
